Account,classification,trades,total_net_pnl,avg_net_pnl,avg_size_usd,positive_trade_rate
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,455,14147.5849965536,31.0935933990189,7556.169428571428,32.527472527472526
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,52,7018.857896,134.97803646153847,18355.422884615386,38.46153846153847
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,5,40.261606,8.0523212,1816.5700000000002,40.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,5,14.187041,2.8374082,1729.47,20.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,739,8953.61169806,12.11584803526387,1679.102043301759,31.123139377537214
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,3005,90425.75461233,30.091765262006653,1594.6896938435941,32.712146422628955
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457,398266.55259402003,115.20582950362164,2621.9688140005783,38.50159097483367
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5889,525962.20222277,89.31265108214807,6161.486004415011,32.09373408048904
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643,1103779.15831,671.80715660986,3141.527096774193,51.308581862446744
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,1577,-42026.847157,-26.64987137412809,20678.869264426125,33.29105897273304
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,2947,33747.974456,11.451637073634206,23308.947170003394,49.50797421106209
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,314,2124.199807,6.764967538216561,24124.194140127387,27.388535031847134
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,4480,260019.900625781,58.04015638968326,4447.5240379464285,37.94642857142857
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,12437,615230.498392,49.467757368497224,3275.304973064244,48.2592265015679
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4270,56312.148887,13.187856882201405,1727.4258618266979,47.096018735362996
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,5,4.552649,0.9105298,71.23400000000001,20.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,387,36864.890074999996,95.25811388888887,10015.927416020671,24.8062015503876
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,1181,234423.582822,198.49583642845047,9070.947688399661,49.7883149872989
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,413,-91572.19725343,-221.72444855552058,10692.552179176755,16.222760290556902
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,350,30121.630614,86.06180175428572,2397.802942857143,24.285714285714285
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,310,5908.057110999998,19.058248745161286,2881.2370967741936,8.38709677419355
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,5079,29044.577198080002,5.718562157527073,1445.72832250443,40.71667651112424
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,12901,51523.19727303,3.9937367082419963,1503.4243562514534,37.469963568715606
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,8143,24007.12406048,2.9481915830136316,1625.9099029841582,34.53272749600884
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,7338,241015.4457194,32.844841335432,2398.693387844099,46.37503406922867
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723,477137.30911706,70.97089232739253,2458.4087832812734,59.52699687639446
